<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.23	22:30:00	11258.23	11323.65	11254.76	11312.35	6987	0	100
2022.09.23	23:00:00	11311.99	11330.71	11306.97	11326.54	3125	0	100
2022.09.23	23:30:00	11326.91	11330.09	11322.26	11326.10	1182	0	100
2022.09.26	01:00:00	11302.90	11334.19	11250.42	11324.51	3417	0	100
2022.09.26	01:30:00	11325.01	11328.23	11285.94	11294.13	2584	0	200
2022.09.26	02:00:00	11294.01	11306.99	11286.08	11303.27	2012	0	200
2022.09.26	02:30:00	11303.14	11305.33	11267.92	11284.31	2553	0	200
2022.09.26	03:00:00	11283.94	11318.25	11279.87	11290.52	3648	0	100
2022.09.26	03:30:00	11290.64	11299.25	11239.13	11244.96	3479	0	200
2022.09.26	04:00:00	11244.46	11256.73	11223.52	11233.13	4499	0	200
2022.09.26	04:30:00	11233.00	11278.54	11230.77	11276.92	4041	0	100
2022.09.26	05:00:00	11277.04	11303.66	11270.90	11296.02	3541	0	200
2022.09.26	05:30:00	11296.64	11300.71	11268.70	11271.46	3015	0	200
2022.09.26	06:00:00	11270.71	11291.09	11268.20	11276.96	2606	0	200
2022.09.26	06:30:00	11276.84	11281.11	11252.98	11261.14	2643	0	200
2022.09.26	07:00:00	11260.64	11267.97	11245.52	11261.39	2336	0	200
2022.09.26	07:30:00	11261.14	11261.69	11230.77	11234.86	2486	0	200
2022.09.26	08:00:00	11234.49	11247.00	11203.71	11210.11	3222	0	200
2022.09.26	08:30:00	11209.86	11223.52	11203.63	11212.05	3033	0	200
2022.09.26	09:00:00	11213.04	11236.36	11195.88	11209.45	3563	0	200
2022.09.26	09:30:00	11209.20	11226.92	11201.73	11215.49	3106	0	200
2022.09.26	10:00:00	11213.26	11360.93	11210.65	11333.13	5429	0	100
2022.09.26	10:30:00	11331.89	11357.69	11285.61	11289.46	4754	0	100
2022.09.26	11:00:00	11289.61	11344.72	11282.05	11343.09	4395	0	100
2022.09.26	11:30:00	11342.96	11348.03	11311.31	11319.73	3811	0	200
2022.09.26	12:00:00	11320.10	11329.27	11267.77	11271.23	3699	0	100
2022.09.26	12:30:00	11270.85	11274.53	11219.25	11243.31	4000	0	100
2022.09.26	13:00:00	11244.65	11278.27	11229.67	11277.52	3813	0	200
2022.09.26	13:30:00	11277.28	11278.02	11250.12	11251.57	3453	0	100
2022.09.26	14:00:00	11250.82	11257.23	11225.70	11254.75	3663	0	100
2022.09.26	14:30:00	11254.13	11266.51	11245.30	11256.14	3441	0	200
2022.09.26	15:00:00	11257.26	11284.49	11232.18	11275.01	4022	0	100
2022.09.26	15:30:00	11274.39	11325.97	11250.69	11325.35	4667	0	200
2022.09.26	16:00:00	11325.10	11327.75	11283.37	11293.72	4481	0	200
2022.09.26	16:30:00	11293.97	11434.03	11284.37	11429.94	7735	0	100
2022.09.26	17:00:00	11431.55	11474.73	11394.33	11460.25	7243	0	100
2022.09.26	17:30:00	11459.25	11462.10	11373.71	11395.97	7011	0	100
2022.09.26	18:00:00	11396.47	11409.81	11314.86	11315.33	6756	0	100
2022.09.26	18:30:00	11315.46	11361.01	11293.16	11350.40	6873	0	100
2022.09.26	19:00:00	11351.26	11352.13	11257.08	11266.40	6572	0	100
2022.09.26	19:30:00	11267.02	11323.14	11248.18	11310.20	6167	0	100
2022.09.26	20:00:00	11309.83	11313.41	11239.39	11262.41	6060	0	100
2022.09.26	20:30:00	11262.40	11286.11	11232.30	11237.89	6109	0	100
2022.09.26	21:00:00	11236.65	11309.88	11232.96	11262.78	6277	0	100
2022.09.26	21:30:00	11262.16	11336.02	11245.70	11321.26	6349	0	100
2022.09.26	22:00:00	11320.52	11344.07	11288.80	11316.10	6877	0	100
2022.09.26	22:30:00	11316.97	11343.84	11246.96	11259.45	6994	0	100
2022.09.26	23:00:00	11256.59	11272.97	11227.95	11247.18	3715	0	100
2022.09.26	23:30:00	11247.31	11254.76	11239.30	11252.80	1582	0	100
2022.09.27	01:00:00	11252.09	11262.88	11234.61	11251.99	1888	0	100
2022.09.27	01:30:00	11252.23	11262.92	11251.99	11260.19	1230	0	100
2022.09.27	02:00:00	11260.20	11281.97	11259.70	11276.51	1666	0	200
2022.09.27	02:30:00	11276.64	11292.99	11268.43	11285.23	1923	0	100
2022.09.27	03:00:00	11285.11	11332.11	11283.87	11323.41	3349	0	200
2022.09.27	03:30:00	11323.29	11353.90	11312.73	11344.86	3164	0	200
2022.09.27	04:00:00	11345.10	11357.77	11328.54	11339.16	3252	0	100
